"id","block_proc","avg_liking","cond","category","cuetype","portion","mri_version","run"
11,"like_f1",40.315,"OfficeSmall","Office","office","Small","2","5"
11,"like_e2",27.2966666666667,"OfficeLarge","Office","office","Large","2","1"
11,"like_e4",30.4916666666667,"OfficeLarge","Office","office","Large","2","3"
17,"like_a3",99.825,"HighLarge","HighED","food","Large","2","4"
17,"like_a5",96.21,"HighLarge","HighED","food","Large","2","2"
17,"like_b4",94.3516666666667,"HighSmall","HighED","food","Small","2","3"
17,"like_b5",100,"HighSmall","HighED","food","Small","2","2"
17,"like_a1",100,"HighLarge","HighED","food","Large","2","5"
17,"like_c1",99.2633333333333,"LowLarge","LowED","food","Large","2","5"
17,"like_b2",96.3166666666667,"HighSmall","HighED","food","Small","2","1"
17,"like_a4",100,"HighLarge","HighED","food","Large","2","3"
17,"like_f2",89.685,"OfficeSmall","Office","office","Small","2","1"
17,"like_c5",98.9116666666667,"LowLarge","LowED","food","Large","2","2"
17,"like_c2",87.2283333333333,"LowLarge","LowED","food","Large","2","1"
17,"like_d4",92.315,"LowSmall","LowED","food","Small","2","3"
17,"like_b1",100,"HighSmall","HighED","food","Small","2","5"
17,"like_f3",99.895,"OfficeSmall","Office","office","Small","2","4"
17,"like_c3",77.93,"LowLarge","LowED","food","Large","2","4"
17,"like_b3",84.3866666666667,"HighSmall","HighED","food","Small","2","4"
17,"like_e5",97.93,"OfficeLarge","Office","office","Large","2","2"
17,"like_f4",85.1916666666667,"OfficeSmall","Office","office","Small","2","3"
17,"like_d1",83.3333333333333,"LowSmall","LowED","food","Small","2","5"
17,"like_d2",95.0166666666667,"LowSmall","LowED","food","Small","2","1"
17,"like_a2",82.0333333333333,"HighLarge","HighED","food","Large","2","1"
17,"like_f1",93.895,"OfficeSmall","Office","office","Small","2","5"
17,"like_f5",82.8416666666667,"OfficeSmall","Office","office","Small","2","2"
17,"like_c4",74.3866666666667,"LowLarge","LowED","food","Large","2","3"
17,"like_e1",67.65,"OfficeLarge","Office","office","Large","2","5"
17,"like_e3",88.105,"OfficeLarge","Office","office","Large","2","4"
17,"like_e4",94,"OfficeLarge","Office","office","Large","2","3"
17,"like_d5",93.0866666666667,"LowSmall","LowED","food","Small","2","2"
17,"like_e2",93.79,"OfficeLarge","Office","office","Large","2","1"
17,"like_d3",83.93,"LowSmall","LowED","food","Small","2","4"
20,"like_a5",15.3683333333333,"HighLarge","HighED","food","Large","2","2"
20,"like_b2",32.175,"HighSmall","HighED","food","Small","2","1"
20,"like_c5",57.4733333333333,"LowLarge","LowED","food","Large","2","2"
20,"like_b4",65.93,"HighSmall","HighED","food","Small","2","3"
20,"like_b5",66.5266666666667,"HighSmall","HighED","food","Small","2","2"
20,"like_b3",15.5083333333333,"HighSmall","HighED","food","Small","2","4"
20,"like_a3",65.4033333333333,"HighLarge","HighED","food","Large","2","4"
20,"like_c3",32.35,"LowLarge","LowED","food","Large","2","4"
20,"like_d4",42.28,"LowSmall","LowED","food","Small","2","3"
20,"like_e1",100,"OfficeLarge","Office","office","Large","2","5"
20,"like_b1",24.42,"HighSmall","HighED","food","Small","2","5"
20,"like_a4",33.3333333333333,"HighLarge","HighED","food","Large","2","3"
20,"like_c4",16.035,"LowLarge","LowED","food","Large","2","3"
20,"like_d5",31.4733333333333,"LowSmall","LowED","food","Small","2","2"
20,"like_a1",7.29833333333333,"HighLarge","HighED","food","Large","2","5"
20,"like_e5",82.1766666666667,"OfficeLarge","Office","office","Large","2","2"
20,"like_c1",16.6666666666667,"LowLarge","LowED","food","Large","2","5"
20,"like_d2",58.3516666666667,"LowSmall","LowED","food","Small","2","1"
20,"like_d1",23.1933333333333,"LowSmall","LowED","food","Small","2","5"
20,"like_a2",24.3516666666667,"HighLarge","HighED","food","Large","2","1"
20,"like_f2",73.5083333333333,"OfficeSmall","Office","office","Small","2","1"
20,"like_c2",24.7716666666667,"LowLarge","LowED","food","Large","2","1"
20,"like_e3",64.8066666666667,"OfficeLarge","Office","office","Large","2","4"
20,"like_f4",65.4033333333333,"OfficeSmall","Office","office","Small","2","3"
20,"like_f1",74.3516666666667,"OfficeSmall","Office","office","Small","2","5"
20,"like_f3",57.4733333333333,"OfficeSmall","Office","office","Small","2","4"
20,"like_e2",91.3683333333333,"OfficeLarge","Office","office","Large","2","1"
20,"like_e4",59.4033333333333,"OfficeLarge","Office","office","Large","2","3"
20,"like_f5",83.3333333333333,"OfficeSmall","Office","office","Small","2","2"
20,"like_d3",41.72,"LowSmall","LowED","food","Small","2","4"
21,"like_a5",39.1933333333333,"HighLarge","HighED","food","Large","2","2"
21,"like_b2",61.7183333333333,"HighSmall","HighED","food","Small","2","1"
21,"like_c1",39.5083333333333,"LowLarge","LowED","food","Large","2","5"
21,"like_c5",57.1933333333333,"LowLarge","LowED","food","Large","2","2"
21,"like_a1",74.3516666666667,"HighLarge","HighED","food","Large","2","5"
21,"like_b4",58.5966666666667,"HighSmall","HighED","food","Small","2","3"
21,"like_b3",53.93,"HighSmall","HighED","food","Small","2","4"
21,"like_c2",63.7916666666667,"LowLarge","LowED","food","Large","2","1"
21,"like_b1",39.405,"HighSmall","HighED","food","Small","2","5"
21,"like_a3",76.9466666666667,"HighLarge","HighED","food","Large","2","4"
21,"like_d2",60.21,"LowSmall","LowED","food","Small","2","1"
21,"like_e1",23.0866666666667,"OfficeLarge","Office","office","Large","2","5"
21,"like_d4",60.7016666666667,"LowSmall","LowED","food","Small","2","3"
21,"like_c3",58.21,"LowLarge","LowED","food","Large","2","4"
21,"like_b5",58.6666666666667,"HighSmall","HighED","food","Small","2","2"
21,"like_d3",36.3516666666667,"LowSmall","LowED","food","Small","2","4"
21,"like_d1",47.5433333333333,"LowSmall","LowED","food","Small","2","5"
21,"like_a2",49.4383333333333,"HighLarge","HighED","food","Large","2","1"
21,"like_a4",67.44,"HighLarge","HighED","food","Large","2","3"
21,"like_e3",34.6666666666667,"OfficeLarge","Office","office","Large","2","4"
21,"like_e5",61.4033333333333,"OfficeLarge","Office","office","Large","2","2"
21,"like_f2",7.43833333333333,"OfficeSmall","Office","office","Small","2","1"
21,"like_c4",46.2116666666667,"LowLarge","LowED","food","Large","2","3"
21,"like_e2",33.895,"OfficeLarge","Office","office","Large","2","1"
21,"like_d5",49.7183333333333,"LowSmall","LowED","food","Small","2","2"
21,"like_f3",70,"OfficeSmall","Office","office","Small","2","4"
21,"like_e4",12.42,"OfficeLarge","Office","office","Large","2","3"
21,"like_f4",16.2833333333333,"OfficeSmall","Office","office","Small","2","3"
21,"like_f5",17.93,"OfficeSmall","Office","office","Small","2","2"
21,"like_f1",34.8766666666667,"OfficeSmall","Office","office","Small","2","5"
22,"like_b2",57.875,"HighSmall","HighED","food","Small","2","1"
22,"like_c1",70.2533333333333,"LowLarge","LowED","food","Large","2","5"
22,"like_b1",90.085,"HighSmall","HighED","food","Small","2","5"
22,"like_b4",91.1383333333333,"HighSmall","HighED","food","Small","2","3"
22,"like_a5",90.1533333333334,"HighLarge","HighED","food","Large","2","2"
22,"like_e1",32.875,"OfficeLarge","Office","office","Large","2","5"
22,"like_b3",57.91,"HighSmall","HighED","food","Small","2","4"
22,"like_a3",82.91,"HighLarge","HighED","food","Large","2","4"
22,"like_d2",75.455,"LowSmall","LowED","food","Small","2","1"
22,"like_d3",63.9233333333333,"LowSmall","LowED","food","Small","2","4"
22,"like_c5",90.5066666666667,"LowLarge","LowED","food","Large","2","2"
22,"like_c3",67.2266666666667,"LowLarge","LowED","food","Large","2","4"
22,"like_e3",72.7133333333333,"OfficeLarge","Office","office","Large","2","4"
22,"like_f4",44.83,"OfficeSmall","Office","office","Small","2","3"
22,"like_c2",63.8183333333333,"LowLarge","LowED","food","Large","2","1"
22,"like_b5",77.25,"HighSmall","HighED","food","Small","2","2"
22,"like_a1",64.5216666666667,"HighLarge","HighED","food","Large","2","5"
22,"like_e4",54.6366666666667,"OfficeLarge","Office","office","Large","2","3"
22,"like_e5",79.9216666666667,"OfficeLarge","Office","office","Large","2","2"
22,"like_d4",64.8716666666667,"LowSmall","LowED","food","Small","2","3"
22,"like_a4",80.73,"HighLarge","HighED","food","Large","2","3"
22,"like_a2",53.4083333333333,"HighLarge","HighED","food","Large","2","1"
22,"like_e2",54.4283333333333,"OfficeLarge","Office","office","Large","2","1"
22,"like_d1",41.455,"LowSmall","LowED","food","Small","2","5"
22,"like_c4",53.3383333333333,"LowLarge","LowED","food","Large","2","3"
22,"like_f5",63.325,"OfficeSmall","Office","office","Small","2","2"
22,"like_f2",43.4233333333333,"OfficeSmall","Office","office","Small","2","1"
22,"like_d5",73.6283333333333,"LowSmall","LowED","food","Small","2","2"
22,"like_f1",56.3983333333333,"OfficeSmall","Office","office","Small","2","5"
22,"like_f3",69.7233333333333,"OfficeSmall","Office","office","Small","2","4"
23,"like_a3",93.88,"HighLarge","HighED","food","Large","1","2"
23,"like_c1",16.91,"LowLarge","LowED","food","Large","1","1"
23,"like_a5",82.9466666666667,"HighLarge","HighED","food","Large","1","4"
23,"like_e1",22.15,"OfficeLarge","Office","office","Large","1","1"
23,"like_a4",91.6666666666667,"HighLarge","HighED","food","Large","1","3"
23,"like_a1",35.645,"HighLarge","HighED","food","Large","1","1"
23,"like_d2",56.1883333333333,"LowSmall","LowED","food","Small","1","5"
23,"like_d3",21.7283333333333,"LowSmall","LowED","food","Small","1","2"
23,"like_c5",57.875,"LowLarge","LowED","food","Large","1","4"
23,"like_b4",93.53,"HighSmall","HighED","food","Small","1","3"
23,"like_e3",41.175,"OfficeLarge","Office","office","Large","1","2"
23,"like_f4",40.0483333333333,"OfficeSmall","Office","office","Small","1","3"
23,"like_c2",41.8416666666667,"LowLarge","LowED","food","Large","1","5"
23,"like_b1",87.4316666666667,"HighSmall","HighED","food","Small","1","1"
23,"like_b2",41.63,"HighSmall","HighED","food","Small","1","5"
23,"like_e4",41.1383333333333,"OfficeLarge","Office","office","Large","1","3"
23,"like_e5",65.6116666666667,"OfficeLarge","Office","office","Large","1","4"
23,"like_d4",33.93,"LowSmall","LowED","food","Small","1","3"
23,"like_a2",56.925,"HighLarge","HighED","food","Large","1","5"
23,"like_b3",55.6966666666667,"HighSmall","HighED","food","Small","1","2"
23,"like_e2",62.3433333333333,"OfficeLarge","Office","office","Large","1","5"
23,"like_d1",30.1316666666667,"LowSmall","LowED","food","Small","1","1"
23,"like_c3",41.1366666666667,"LowLarge","LowED","food","Large","1","2"
23,"like_c4",32.84,"LowLarge","LowED","food","Large","1","3"
23,"like_f5",52.81,"OfficeSmall","Office","office","Small","1","4"
23,"like_f2",45.46,"OfficeSmall","Office","office","Small","1","5"
23,"like_b5",93.6,"HighSmall","HighED","food","Small","1","4"
23,"like_f1",30.0633333333333,"OfficeSmall","Office","office","Small","1","1"
