sub	run	HighLarge	HighSmall	LowLarge	LowSmall	OfficeLarge	OfficeSmall
002	2.0	9.0	9.0	9.0	9.0	9.0	9.0
002	3.0	9.0	9.0	9.0	9.0	9.0	9.0
002	4.0	9.0	9.0	9.0	9.0	5.0	9.0
002	5.0	9.0	9.0	9.0	9.0	9.0	6.0
089	1.0	9.0	8.0	9.0	9.0	9.0	9.0
089	2.0	9.0	9.0	9.0	9.0	9.0	9.0
089	3.0	8.0	9.0	9.0	9.0	9.0	9.0
089	4.0	9.0	9.0	9.0	9.0	9.0	9.0
089	5.0	9.0	9.0	9.0	9.0	9.0	8.0
011	1.0	9.0	9.0	9.0	9.0	8.0	9.0
011	2.0	9.0	9.0	9.0	6.0	9.0	9.0
011	3.0	7.0	9.0	8.0	7.0	8.0	9.0
011	4.0	8.0	1.0	8.0	1.0	5.0	6.0
011	5.0	8.0	8.0	9.0	9.0	9.0	7.0
106	1.0	7.0	4.0	9.0	0.0	0.0	8.0
106	2.0	7.0	7.0	5.0	4.0	1.0	4.0
009	1.0	8.0	8.0	5.0	2.0	3.0	6.0
009	2.0	5.0	9.0	9.0	8.0	7.0	5.0
009	3.0	9.0	9.0	4.0	8.0	7.0	6.0
009	4.0	3.0	4.0	0.0	0.0	5.0	9.0
009	5.0	9.0	4.0	4.0	3.0	8.0	2.0
040	1.0	9.0	9.0	9.0	9.0	9.0	9.0
040	2.0	8.0	9.0	6.0	9.0	9.0	9.0
040	3.0	7.0	6.0	9.0	8.0	7.0	9.0
040	4.0	6.0	8.0	7.0	8.0	9.0	5.0
040	5.0	8.0	7.0	5.0	8.0	7.0	9.0
028	1.0	9.0	9.0	9.0	9.0	9.0	9.0
028	2.0	9.0	9.0	9.0	9.0	9.0	9.0
028	3.0	9.0	9.0	9.0	9.0	9.0	9.0
028	4.0	9.0	9.0	9.0	9.0	9.0	9.0
028	5.0	9.0	9.0	9.0	9.0	9.0	9.0
031	1.0	9.0	9.0	9.0	9.0	9.0	9.0
031	2.0	9.0	9.0	9.0	9.0	9.0	9.0
031	3.0	9.0	9.0	7.0	7.0	9.0	9.0
