sub	run	n_vol	n_censor	p_censor	n_vol_interest	n_censor_interest	p_censor_interest
094	1.0	78.0	0.0	0.0	54.0	0.0	0.0
094	2.0	78.0	0.0	0.0	54.0	0.0	0.0
094	3.0	78.0	1.0	1.3	54.0	0.0	0.0
094	4.0	78.0	11.0	14.1	54.0	7.0	13.0
094	5.0	78.0	0.0	0.0	54.0	0.0	0.0
129	1.0	78.0	0.0	0.0	54.0	0.0	0.0
129	2.0	78.0	0.0	0.0	54.0	0.0	0.0
129	3.0	78.0	0.0	0.0	54.0	0.0	0.0
129	4.0	78.0	0.0	0.0	54.0	0.0	0.0
129	5.0	78.0	0.0	0.0	54.0	0.0	0.0
118	1.0	78.0	0.0	0.0	54.0	0.0	0.0
118	2.0	78.0	0.0	0.0	54.0	0.0	0.0
118	3.0	78.0	0.0	0.0	54.0	0.0	0.0
118	4.0	78.0	0.0	0.0	54.0	0.0	0.0
118	5.0	78.0	0.0	0.0	54.0	0.0	0.0
095	1.0	78.0	0.0	0.0	54.0	0.0	0.0
095	2.0	78.0	0.0	0.0	54.0	0.0	0.0
095	3.0	78.0	1.0	1.3	54.0	0.0	0.0
095	4.0	78.0	1.0	1.3	54.0	1.0	1.9
095	5.0	78.0	0.0	0.0	54.0	0.0	0.0
056	1.0	78.0	1.0	1.3	54.0	1.0	1.9
056	2.0	78.0	12.0	15.4	54.0	5.0	9.3
056	3.0	78.0	10.0	12.8	54.0	4.0	7.4
056	4.0	78.0	7.0	9.0	54.0	4.0	7.4
056	5.0	78.0	14.0	17.9	54.0	8.0	14.8
004	1.0	78.0	9.0	11.5	54.0	9.0	16.7
004	2.0	78.0	8.0	10.3	54.0	6.0	11.1
004	3.0	78.0	17.0	21.8	54.0	13.0	24.1
004	4.0	78.0	33.0	42.3	54.0	28.0	51.9
004	5.0	78.0	6.0	7.7	54.0	5.0	9.3
052	1.0	78.0	54.0	69.2	54.0	37.0	68.5
052	2.0	78.0	37.0	47.4	54.0	21.0	38.9
052	3.0	78.0	54.0	69.2	54.0	32.0	59.3
052	4.0	78.0	75.0	96.2	54.0	53.0	98.1
052	5.0	78.0	69.0	88.5	54.0	46.0	85.2
002	1.0	78.0	0.0	0.0	54.0	0.0	0.0
002	2.0	78.0	1.0	1.3	54.0	0.0	0.0
002	3.0	78.0	0.0	0.0	54.0	0.0	0.0
002	4.0	78.0	9.0	11.5	54.0	4.0	7.4
002	5.0	78.0	3.0	3.8	54.0	3.0	5.6
089	1.0	78.0	7.0	9.0	54.0	1.0	1.9
089	2.0	78.0	3.0	3.8	54.0	0.0	0.0
089	3.0	78.0	4.0	5.1	54.0	1.0	1.9
089	4.0	78.0	0.0	0.0	54.0	0.0	0.0
089	5.0	78.0	1.0	1.3	54.0	1.0	1.9
011	1.0	78.0	1.0	1.3	54.0	1.0	1.9
011	2.0	78.0	3.0	3.8	54.0	3.0	5.6
011	3.0	77.0	8.0	10.4	54.0	6.0	11.1
011	4.0	78.0	35.0	44.9	54.0	25.0	46.3
011	5.0	76.0	8.0	10.5	54.0	4.0	7.4
106	1.0	78.0	41.0	52.6	54.0	26.0	48.1
106	2.0	78.0	41.0	52.6	54.0	26.0	48.1
009	1.0	78.0	35.0	44.9	54.0	22.0	40.7
009	2.0	78.0	14.0	17.9	54.0	11.0	20.4
009	3.0	78.0	20.0	25.6	54.0	11.0	20.4
009	4.0	78.0	50.0	64.1	54.0	33.0	61.1
009	5.0	78.0	40.0	51.3	54.0	24.0	44.4
040	1.0	78.0	0.0	0.0	54.0	0.0	0.0
040	2.0	78.0	9.0	11.5	54.0	4.0	7.4
040	3.0	78.0	8.0	10.3	54.0	8.0	14.8
040	4.0	78.0	15.0	19.2	54.0	11.0	20.4
040	5.0	78.0	13.0	16.7	54.0	10.0	18.5
028	1.0	78.0	0.0	0.0	54.0	0.0	0.0
028	2.0	76.0	0.0	0.0	54.0	0.0	0.0
028	3.0	78.0	0.0	0.0	54.0	0.0	0.0
028	4.0	78.0	0.0	0.0	54.0	0.0	0.0
028	5.0	78.0	0.0	0.0	54.0	0.0	0.0
031	1.0	78.0	0.0	0.0	54.0	0.0	0.0
031	2.0	78.0	0.0	0.0	54.0	0.0	0.0
031	3.0	78.0	4.0	5.1	54.0	4.0	7.4
031	4.0	78.0	9.0	11.5	54.0	8.0	14.8
031	5.0	78.0	0.0	0.0	54.0	0.0	0.0
068	1.0	78.0	21.0	26.9	54.0	14.0	25.9
068	2.0	78.0	22.0	28.2	54.0	13.0	24.1
068	3.0	78.0	14.0	17.9	54.0	12.0	22.2
068	4.0	78.0	22.0	28.2	54.0	15.0	27.8
068	5.0	78.0	29.0	37.2	54.0	18.0	33.3
051	1.0	78.0	7.0	9.0	54.0	2.0	3.7
051	2.0	78.0	4.0	5.1	54.0	2.0	3.7
051	3.0	78.0	2.0	2.6	54.0	1.0	1.9
051	4.0	74.0	21.0	28.4	54.0	13.0	24.1
051	5.0	78.0	33.0	42.3	54.0	23.0	42.6
123	1.0	78.0	7.0	9.0	54.0	5.0	9.3
123	2.0	78.0	14.0	17.9	54.0	12.0	22.2
123	3.0	78.0	43.0	55.1	54.0	26.0	48.1
123	4.0	78.0	26.0	33.3	54.0	16.0	29.6
123	5.0	78.0	7.0	9.0	54.0	5.0	9.3
058	1.0	78.0	7.0	9.0	54.0	1.0	1.9
058	2.0	78.0	8.0	10.3	54.0	7.0	13.0
058	3.0	78.0	9.0	11.5	54.0	3.0	5.6
058	4.0	78.0	35.0	44.9	54.0	23.0	42.6
058	5.0	78.0	18.0	23.1	54.0	11.0	20.4
020	1.0	78.0	1.0	1.3	54.0	1.0	1.9
020	2.0	78.0	0.0	0.0	54.0	0.0	0.0
020	3.0	78.0	11.0	14.1	54.0	5.0	9.3
020	4.0	78.0	22.0	28.2	54.0	11.0	20.4
020	5.0	78.0	20.0	25.6	54.0	11.0	20.4
127	1.0	78.0	17.0	21.8	54.0	13.0	24.1
127	2.0	78.0	8.0	10.3	54.0	8.0	14.8
127	3.0	78.0	33.0	42.3	54.0	19.0	35.2
127	4.0	78.0	25.0	32.1	54.0	12.0	22.2
127	5.0	78.0	25.0	32.1	54.0	18.0	33.3
039	1.0	78.0	18.0	23.1	54.0	9.0	16.7
039	2.0	78.0	13.0	16.7	54.0	9.0	16.7
039	3.0	78.0	22.0	28.2	54.0	14.0	25.9
039	4.0	78.0	10.0	12.8	54.0	5.0	9.3
039	5.0	78.0	41.0	52.6	54.0	28.0	51.9
090	1.0	78.0	4.0	5.1	54.0	1.0	1.9
090	2.0	78.0	3.0	3.8	54.0	3.0	5.6
090	3.0	78.0	16.0	20.5	54.0	12.0	22.2
090	4.0	78.0	40.0	51.3	54.0	21.0	38.9
090	5.0	78.0	9.0	11.5	54.0	7.0	13.0
104	1.0	78.0	1.0	1.3	54.0	1.0	1.9
104	2.0	78.0	2.0	2.6	54.0	1.0	1.9
104	3.0	78.0	3.0	3.8	54.0	2.0	3.7
104	4.0	78.0	5.0	6.4	54.0	4.0	7.4
104	5.0	78.0	6.0	7.7	54.0	3.0	5.6
080	1.0	78.0	0.0	0.0	54.0	0.0	0.0
080	2.0	78.0	0.0	0.0	54.0	0.0	0.0
080	3.0	78.0	0.0	0.0	54.0	0.0	0.0
080	4.0	78.0	0.0	0.0	54.0	0.0	0.0
080	5.0	78.0	0.0	0.0	54.0	0.0	0.0
043	1.0	78.0	18.0	23.1	54.0	8.0	14.8
043	2.0	78.0	17.0	21.8	54.0	9.0	16.7
043	3.0	78.0	17.0	21.8	54.0	10.0	18.5
043	4.0	78.0	22.0	28.2	54.0	14.0	25.9
043	5.0	78.0	16.0	20.5	54.0	10.0	18.5
041	1.0	78.0	6.0	7.7	54.0	4.0	7.4
041	2.0	78.0	23.0	29.5	54.0	15.0	27.8
041	3.0	78.0	11.0	14.1	54.0	7.0	13.0
041	4.0	78.0	1.0	1.3	54.0	1.0	1.9
041	5.0	78.0	21.0	26.9	54.0	19.0	35.2
101	1.0	78.0	3.0	3.8	54.0	2.0	3.7
101	2.0	78.0	13.0	16.7	54.0	10.0	18.5
101	3.0	78.0	15.0	19.2	54.0	9.0	16.7
101	4.0	78.0	22.0	28.2	54.0	16.0	29.6
101	5.0	78.0	6.0	7.7	54.0	4.0	7.4
023	1.0	78.0	0.0	0.0	54.0	0.0	0.0
023	2.0	78.0	3.0	3.8	54.0	2.0	3.7
023	3.0	78.0	5.0	6.4	54.0	4.0	7.4
023	4.0	78.0	0.0	0.0	54.0	0.0	0.0
023	5.0	78.0	0.0	0.0	54.0	0.0	0.0
112	1.0	78.0	20.0	25.6	54.0	8.0	14.8
112	2.0	78.0	45.0	57.7	54.0	31.0	57.4
112	3.0	78.0	60.0	76.9	54.0	42.0	77.8
114	1.0	78.0	28.0	35.9	54.0	17.0	31.5
114	2.0	78.0	36.0	46.2	54.0	21.0	38.9
114	3.0	78.0	35.0	44.9	54.0	24.0	44.4
114	4.0	78.0	2.0	2.6	54.0	1.0	1.9
114	5.0	78.0	10.0	12.8	54.0	7.0	13.0
038	1.0	78.0	19.0	24.4	54.0	14.0	25.9
038	2.0	78.0	14.0	17.9	54.0	11.0	20.4
038	3.0	78.0	21.0	26.9	54.0	13.0	24.1
038	4.0	78.0	1.0	1.3	54.0	0.0	0.0
038	5.0	78.0	1.0	1.3	54.0	1.0	1.9
030	1.0	78.0	1.0	1.3	54.0	0.0	0.0
030	2.0	78.0	4.0	5.1	54.0	3.0	5.6
030	3.0	78.0	3.0	3.8	54.0	2.0	3.7
030	4.0	78.0	4.0	5.1	54.0	3.0	5.6
030	5.0	78.0	3.0	3.8	54.0	1.0	1.9
070	1.0	78.0	0.0	0.0	54.0	0.0	0.0
070	2.0	78.0	0.0	0.0	54.0	0.0	0.0
070	3.0	78.0	0.0	0.0	54.0	0.0	0.0
070	4.0	78.0	1.0	1.3	54.0	0.0	0.0
070	5.0	78.0	21.0	26.9	54.0	14.0	25.9
120	1.0	78.0	10.0	12.8	54.0	7.0	13.0
120	2.0	78.0	11.0	14.1	54.0	5.0	9.3
120	3.0	78.0	16.0	20.5	54.0	9.0	16.7
120	4.0	78.0	13.0	16.7	54.0	8.0	14.8
120	5.0	78.0	8.0	10.3	54.0	4.0	7.4
049	1.0	78.0	3.0	3.8	54.0	2.0	3.7
049	2.0	78.0	10.0	12.8	54.0	3.0	5.6
049	3.0	78.0	18.0	23.1	54.0	12.0	22.2
049	4.0	78.0	9.0	11.5	54.0	5.0	9.3
049	5.0	78.0	15.0	19.2	54.0	8.0	14.8
037	1.0	78.0	0.0	0.0	54.0	0.0	0.0
037	2.0	78.0	4.0	5.1	54.0	1.0	1.9
037	3.0	78.0	0.0	0.0	54.0	0.0	0.0
037	4.0	78.0	0.0	0.0	54.0	0.0	0.0
037	5.0	78.0	7.0	9.0	54.0	4.0	7.4
003	1.0	78.0	1.0	1.3	54.0	0.0	0.0
003	2.0	78.0	2.0	2.6	54.0	1.0	1.9
003	3.0	78.0	3.0	3.8	54.0	3.0	5.6
003	4.0	78.0	6.0	7.7	54.0	5.0	9.3
003	5.0	78.0	5.0	6.4	54.0	5.0	9.3
054	1.0	78.0	2.0	2.6	54.0	1.0	1.9
